Operation_Cost,Carbon_Emissions
4400121.391821023,5564.000202719233
4405855.1100727,5562.665668946236
4493367.824926244,5494.937722712925
4524326.620363937,5397.898945348865
4533490.236398699,5293.670742492846
4573170.13965084,5264.551453327209
4589324.640253465,5254.571951586297
4607653.350447016,5178.840002045379
4637097.462642084,5034.69511205964
4719664.987149572,4966.881559896996
4754068.325909594,4904.276063485205
4779705.762467522,4860.2053454557035
4796223.813030471,4834.579567871736
4824732.547904552,4817.097146491307
4857040.788885627,4624.479786689406
4900624.167480627,4578.262582819694
4918187.451999062,4575.199303940063
4943296.641451506,4524.927988983169
4964009.057080726,4465.891593399484
4968094.668956848,4421.656525638723
4980020.352851501,4416.239864697829
4999745.5515360795,4375.773985480791
5018110.551885888,4331.366057877788
5040301.364530309,4319.8781790993935
5083294.388180962,4309.073327468985
5099136.225207813,4190.839998177404
5142225.960533163,4132.946674001486
5163042.0662246235,4126.974278648742
5164637.10781607,4092.6118303327166
5178309.625709997,4050.244239688959
5205434.745496922,3914.8189582952277
5229312.934218219,3913.0197969437277
5264480.6871956,3831.5959751710825
5311756.634683633,3799.968692524596
5318460.998039411,3778.996884454866
5338819.8641748205,3736.998733061266
5340205.092712905,3734.035047127142
5346297.843700447,3685.6640106429722
5387304.56819169,3640.7770840023068
5396389.980862755,3610.605746994231
5405079.6200109,3589.451157663298
5472257.5829076655,3493.848610777391
5490356.053667145,3477.6783303503544
5493450.957770949,3448.378086283488
5503440.430011987,3218.79893272593
5590993.226627887,3212.976706633447
5597867.272945806,3183.836792967626
5620319.624749885,3118.481571734705
5650170.56437291,3109.5810935832797
5670776.574779191,3097.7351423425225
5696217.592048768,3038.518558580825
5724442.884316277,2958.3317485561147
5734790.603451017,2881.14582219276
5781458.397274705,2839.1595663901244
5798675.730630506,2759.082157452094
5829611.064737698,2715.275737383208
5867721.66997573,2612.4484779354602
5905089.95707798,2505.7397533902304
5915813.8012378095,2376.682790896338
6036684.296758672,2202.1656236110894
6144190.199835409,2156.815020533128
6157596.521863043,2155.2179581773426
6169505.371533733,2104.1679309921888
6174841.497551771,2087.7709566040885
6181021.921052658,2069.4148963334505
6187335.46293868,2003.6460166865663
6244858.7263592165,1982.0250246094058
6281958.9830038715,1970.0864987085124
6306580.068098213,1916.87836879224
6318414.188945791,1827.9543825236183
6436236.261941373,1814.773206235813
6461419.452763073,1533.2384690988727
6513824.266629221,1481.3312539294777
6591236.13360255,1385.9470003639483
6705596.391664159,1276.9321103223206
6794059.533488531,1242.643794798574
